job_title,company_name,job_type
2D Illustrator - Alexandria,Arabic Localizer -,Full Time
Graphic Designer,Energya Cables -,Full Time
Senior Graphic Designer,AEG -,Full Time
2 D Designer (Full-time),Scope IMS -,Full Time
Graphic Designer,Grand Plast  -,Full Time
Graphic Designer,El sewedy Trading  -,Full Time
Graphic Designer,Confidential -,Full Time
Senior Motion Graphic Designer,Skillitt -,Full Time
Graphic Designer,Yousry group -,Full Time
Senior Graphic Designer,Zain International Group -,Full Time
Graphic Designer-Internship,Osolutions -,Internship
Desktop Publishing Specialist (DTP),All Localized -,Full Time
Graphic Designer,World Trip Deal  -,Full Time
Fashion Designer,A2Z Lingerie -,Full Time
Fashion Designer,Tie House -,Full Time
